date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:23	42016/42016	---M--	200	added ('OK')	image/jpeg	etag:%22a420-5519715e75002%22	http://www.theprogroup.co.nz/wp-content/themes/progroup/uploads//GrassPro-thumb.jpg	C:/My%20Web%20Sites/TheProGroup/www.theprogroup.co.nz/wp-content/themes/progroup/uploads/GrassPro-thumb.jpg	(from http://theprogroup.co.nz/)
10:11:23	1078/1078	---M-Z	200	added ('OK')	application/javascript	etag:%22436-55192e6335fb2-gzip%22	http://theprogroup.co.nz/wp-includes/js/comment-reply.min.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-includes/js/comment-reply.minef15.js	(from http://theprogroup.co.nz/)
10:11:24	21871/21871	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:23%20GMT	http://theprogroup.co.nz/terms-and-conditions/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/terms-and-conditions/index.html	(from http://theprogroup.co.nz/)
10:11:24	13338/13338	---M-Z	200	added ('OK')	application/javascript	etag:%22341a-551936e5f721f-gzip%22	http://theprogroup.co.nz/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/contact-form-7/includes/js/scriptsef15.js	(from http://theprogroup.co.nz/)
10:11:41	318457/318457	---MCZ	200	added ('OK')	application/javascript	etag:%224dbf9-551934f9722d2-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/js/plugins.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/js/pluginsef15.js	(from http://theprogroup.co.nz/)
10:11:41	2540/2540	---M-Z	200	added ('OK')	application/javascript	etag:%229ec-551934f8d7268-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/js/be-slider.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/js/be-slideref15.js	(from http://theprogroup.co.nz/)
10:11:43	28649/28649	---M-Z	200	added ('OK')	application/javascript	etag:%226fe9-551934f8f9653-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/js/gmap3.min.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/js/gmap3.minef15.js	(from http://theprogroup.co.nz/)
10:11:49	136132/136132	---M-Z	200	added ('OK')	application/javascript	etag:%22213c4-551934f90a68b-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/js/jquery-ui-1.8.22.custom.min.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/js/jquery-ui-1.8.22.custom.minef15.js	(from http://theprogroup.co.nz/)
10:11:51	65086/65086	---M-Z	200	added ('OK')	application/javascript	etag:%22fe3e-551934f98088b-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/js/script.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/js/scriptef15.js	(from http://theprogroup.co.nz/)
10:11:51	1398/1398	---M-Z	200	added ('OK')	application/javascript	etag:%22576-55192e65f634c-gzip%22	http://theprogroup.co.nz/wp-includes/js/wp-embed.min.js?ver=4.8	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-includes/js/wp-embed.minef15.js	(from http://theprogroup.co.nz/)
10:11:51	41077/41077	---M-Z	200	added ('OK')	text/css	etag:%22a075-551934f652239-gzip%22	http://theprogroup.co.nz/wp-content/themes/namo/style.css	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/style.css	(from http://theprogroup.co.nz/wp-content/themes/progroup/style.css)
10:11:52	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-551936e1b81f9%22	http://theprogroup.co.nz/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://theprogroup.co.nz/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.8)
10:11:54	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-551935c47ec53%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:56	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%221d70-551935c4a075b%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:58	11968/11968	---M--	200	added ('OK')	application/font-sfnt	etag:%222ec0-551935c4a2fea%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:58	13532/13532	---M--	200	added ('OK')	image/svg+xml	etag:%2234dc-551935c47e06a%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:58	326/326	---M--	200	added ('OK')	text/html	etag:%22146-551935a078e77%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/openhand.html	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:59	326/326	---M--	200	added ('OK')	text/html	etag:%22146-551935a058ade%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:59	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-5519359fdf9d9%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
